ID,LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default.payment.next.month
42,180000,2,4,1,21,-1,0,1,1,-1,-1,37357.0,23087.0,45803.0,58738.0,13854.0,48509.0,6009.0,1710.0,473.0,5185.0,3010.0,2241.0,0
43,120000,2,4,3,21,-1,1,-1,-1,-1,3,33596.0,59967.0,19806.0,31005.0,14336.0,20372.0,1317.0,3532.0,4328.0,4964.0,7556.0,123.0,0
44,50000,1,2,3,31,-1,1,1,-1,0,0,18410.0,29365.0,3861.0,53597.0,22710.0,16400.0,6328.0,1585.0,2814.0,4624.0,4629.0,6742.0,1
45,10000,2,4,3,50,0,-1,-1,0,-1,-1,6388.0,45837.0,18509.0,43958.0,44201.0,14931.0,4692.0,1265.0,286.0,7455.0,7434.0,4216.0,0
46,360000,1,4,2,64,-1,2,1,0,1,-1,25899.0,47126.0,4113.0,7975.0,51914.0,172.0,3360.0,4190.0,3696.0,2540.0,5683.0,5246.0,1
47,90000,1,4,2,58,-1,-1,-1,1,-1,3,15579.0,1689.0,40334.0,38617.0,16684.0,841.0,3709.0,6346.0,7484.0,3458.0,7081.0,5228.0,0
48,360000,2,2,2,52,1,3,-1,0,-1,-1,33257.0,365.0,53328.0,52702.0,6594.0,25674.0,4069.0,1085.0,1334.0,2024.0,1562.0,7733.0,1
49,120000,2,2,2,59,-1,1,0,1,1,0,47827.0,55348.0,59825.0,7702.0,36519.0,37053.0,4402.0,4090.0,2338.0,4556.0,7505.0,1178.0,0
50,180000,2,4,1,29,-1,-1,-1,-1,-1,-1,33152.0,55948.0,48026.0,50318.0,35854.0,752.0,2670.0,5274.0,1514.0,7902.0,7553.0,2741.0,0
51,180000,1,1,1,62,-1,0,-1,-1,0,-1,34982.0,7957.0,46478.0,6326.0,22486.0,12016.0,1784.0,5644.0,999.0,4866.0,326.0,2467.0,0
52,20000,2,2,1,64,0,-1,0,-1,2,0,2511.0,38759.0,52893.0,52265.0,11057.0,54587.0,1352.0,840.0,1841.0,1654.0,2849.0,4411.0,0
53,50000,1,1,2,25,-1,1,1,-1,2,-1,38678.0,55424.0,46192.0,47334.0,50992.0,59404.0,2725.0,5870.0,4574.0,7372.0,3306.0,4209.0,1
54,90000,2,4,1,44,-1,1,-1,-1,0,0,26368.0,57038.0,39030.0,9101.0,50792.0,38508.0,2084.0,215.0,6244.0,6322.0,3354.0,6320.0,1
55,90000,2,3,1,61,-1,0,1,0,-1,-1,7421.0,17782.0,59775.0,43587.0,44851.0,31300.0,4129.0,1895.0,5522.0,3521.0,6227.0,4485.0,1
56,10000,2,1,3,44,1,1,1,-1,0,0,12829.0,49043.0,19352.0,7007.0,34742.0,34980.0,7297.0,2554.0,6170.0,1172.0,5588.0,1871.0,1
57,90000,2,1,2,62,2,-1,1,0,3,1,46844.0,38779.0,24765.0,34081.0,15685.0,22229.0,864.0,6824.0,5724.0,3221.0,1703.0,4517.0,1
58,20000,2,3,2,66,0,-1,0,0,2,0,55001.0,55670.0,54378.0,55428.0,24182.0,12095.0,2471.0,1534.0,3063.0,6434.0,4870.0,7712.0,0
59,180000,1,3,2,44,0,0,0,0,-1,-1,30463.0,8803.0,18661.0,12357.0,4105.0,22556.0,393.0,6259.0,7201.0,4616.0,7797.0,4630.0,0
60,120000,1,4,3,23,1,-1,0,0,-1,0,58594.0,36060.0,17923.0,10429.0,14989.0,41996.0,7798.0,7909.0,1378.0,1485.0,3520.0,4739.0,1
61,360000,1,2,3,37,3,0,0,-1,-1,3,10802.0,1469.0,9125.0,25372.0,27026.0,39757.0,5606.0,7679.0,5598.0,1268.0,7425.0,1407.0,1
62,180000,2,4,1,31,0,-1,2,-1,-1,-1,17978.0,21438.0,16530.0,22117.0,26210.0,40635.0,1931.0,2423.0,887.0,7737.0,5197.0,63.0,1
63,50000,1,2,3,44,1,-1,-1,0,0,-1,55803.0,684.0,35618.0,2908.0,4822.0,36523.0,3313.0,765.0,6124.0,3577.0,7399.0,1676.0,0
64,360000,1,4,2,49,2,0,-1,0,-1,1,10511.0,26574.0,53184.0,27359.0,57456.0,3627.0,5784.0,1776.0,697.0,5487.0,7222.0,201.0,1
65,50000,2,1,3,43,1,1,-1,-1,-1,-1,39562.0,48665.0,8175.0,15572.0,16094.0,37587.0,7661.0,6150.0,1729.0,2885.0,133.0,3618.0,1
66,50000,2,1,2,30,0,-1,2,-1,-1,0,13170.0,39481.0,40849.0,7466.0,30552.0,52850.0,4591.0,1574.0,3130.0,720.0,6402.0,7057.0,1
67,360000,2,1,1,35,-1,1,0,0,0,1,19870.0,19012.0,45980.0,16562.0,27915.0,38933.0,2167.0,5164.0,5555.0,3295.0,1512.0,3573.0,1
68,50000,2,2,3,54,-1,0,0,0,-1,-1,28665.0,25615.0,53740.0,1238.0,28169.0,34764.0,5574.0,2990.0,364.0,5545.0,6594.0,5162.0,1
69,10000,2,4,1,22,0,-1,1,-1,0,0,21599.0,22046.0,45002.0,54902.0,50701.0,13437.0,5485.0,6134.0,2058.0,2666.0,6464.0,6844.0,0
70,90000,1,1,3,31,0,0,3,0,-1,0,52470.0,43900.0,9354.0,59645.0,44776.0,47548.0,5151.0,4846.0,2669.0,4828.0,2067.0,6104.0,1
71,180000,2,2,1,64,0,0,-1,1,2,-1,58367.0,15972.0,29334.0,22057.0,52058.0,27094.0,367.0,4684.0,5848.0,3504.0,529.0,5204.0,0
72,20000,2,1,1,25,0,-1,1,-1,-1,1,30002.0,5510.0,57137.0,52599.0,22742.0,15774.0,5653.0,6255.0,7692.0,2700.0,3355.0,6272.0,0
73,90000,2,4,2,41,0,0,1,1,0,-1,31513.0,30403.0,54504.0,27680.0,15909.0,29390.0,156.0,7638.0,4913.0,2040.0,2423.0,2244.0,1
74,10000,1,3,3,31,1,-1,-1,-1,-1,-1,3323.0,49799.0,36764.0,54740.0,25645.0,7322.0,7244.0,2916.0,4060.0,2085.0,4430.0,3363.0,0
75,120000,2,4,2,26,-1,-1,1,0,-1,1,14052.0,28628.0,57791.0,10387.0,33689.0,55583.0,7055.0,4230.0,2690.0,2045.0,656.0,3191.0,0
76,90000,2,3,1,41,-1,0,-1,0,-1,-1,2393.0,12251.0,40082.0,17073.0,20216.0,42146.0,4507.0,5007.0,6581.0,5750.0,353.0,6388.0,0
77,50000,2,3,1,46,1,0,0,-1,-1,1,51398.0,2763.0,3893.0,44389.0,27603.0,19593.0,5168.0,6584.0,857.0,2698.0,3497.0,3270.0,1
78,20000,1,4,3,29,1,1,0,2,-1,-1,13643.0,56636.0,54843.0,13206.0,9055.0,47632.0,542.0,3856.0,1034.0,5930.0,6158.0,7500.0,1
79,90000,2,1,3,24,3,-1,-1,0,0,0,20438.0,45643.0,10088.0,49412.0,35030.0,3250.0,6995.0,2996.0,1609.0,2488.0,2519.0,1492.0,0
80,120000,2,4,1,27,1,3,-1,2,0,-1,50566.0,9332.0,22845.0,25551.0,42828.0,23162.0,2166.0,6771.0,2144.0,2617.0,2587.0,1377.0,1
81,360000,2,3,2,52,1,1,-1,-1,-1,0,42797.0,4435.0,14286.0,24233.0,31629.0,39083.0,2096.0,7625.0,3692.0,7393.0,1312.0,5729.0,0
82,90000,1,3,1,63,-1,3,-1,1,0,1,37288.0,7749.0,43174.0,27199.0,52381.0,1421.0,5665.0,4552.0,7572.0,7009.0,2260.0,6113.0,1
83,20000,2,2,1,29,0,1,0,2,0,1,2308.0,22591.0,1799.0,47871.0,59740.0,42523.0,7511.0,827.0,5203.0,3205.0,2390.0,5432.0,0
84,180000,2,4,3,36,-1,-1,-1,0,-1,3,33777.0,48712.0,38420.0,335.0,54335.0,49095.0,3952.0,2319.0,3068.0,2150.0,2074.0,2462.0,0
85,120000,1,2,2,37,0,0,-1,-1,-1,0,33653.0,9592.0,51862.0,45041.0,5578.0,35647.0,4060.0,3703.0,1692.0,5725.0,2749.0,73.0,1
86,120000,2,1,1,38,2,-1,0,0,-1,1,19138.0,49122.0,47265.0,46755.0,52848.0,12365.0,4388.0,5628.0,5187.0,558.0,2267.0,2571.0,1
87,10000,1,4,2,32,-1,1,0,0,-1,0,44695.0,113.0,18419.0,49268.0,20022.0,44945.0,2329.0,5358.0,2025.0,3651.0,5446.0,3733.0,0
88,50000,2,1,2,23,0,0,0,2,0,2,55765.0,44325.0,53816.0,59800.0,27107.0,20341.0,4772.0,6560.0,7809.0,4798.0,2704.0,3302.0,1
89,180000,1,1,1,46,-1,-1,2,0,3,0,15542.0,16944.0,21722.0,46935.0,24718.0,44153.0,7687.0,239.0,3821.0,5406.0,6038.0,7376.0,0
90,180000,2,3,2,38,-1,2,-1,-1,3,1,19870.0,57631.0,40803.0,31721.0,17043.0,37693.0,3061.0,3723.0,4406.0,856.0,4838.0,6909.0,0
91,90000,2,1,1,37,-1,-1,1,-1,3,-1,19340.0,28550.0,30400.0,27966.0,52633.0,5604.0,6184.0,5608.0,7227.0,23.0,5123.0,6200.0,0
92,180000,2,4,1,33,-1,0,-1,0,0,0,50096.0,16232.0,4058.0,23295.0,38275.0,5997.0,6191.0,7897.0,2442.0,2213.0,4668.0,176.0,0
93,180000,2,2,3,66,2,0,0,3,-1,0,4666.0,14575.0,176.0,49629.0,58018.0,909.0,6806.0,1138.0,3774.0,953.0,7382.0,1019.0,1
94,50000,2,1,3,50,0,-1,3,-1,-1,-1,53754.0,49598.0,10988.0,23565.0,57282.0,4319.0,5788.0,7032.0,4255.0,4057.0,2045.0,3471.0,1
95,360000,1,4,1,41,1,0,1,0,-1,-1,46502.0,24179.0,56079.0,34358.0,25185.0,17979.0,7371.0,62.0,2168.0,7356.0,7859.0,4973.0,1
96,50000,1,3,3,31,0,1,0,2,-1,3,29000.0,21122.0,57238.0,5764.0,43623.0,1542.0,5714.0,1575.0,437.0,2290.0,1651.0,5440.0,0
97,20000,2,2,2,60,-1,-1,0,-1,-1,0,35011.0,44140.0,24606.0,19039.0,30141.0,56308.0,7809.0,6775.0,2269.0,3629.0,1105.0,2370.0,0
98,120000,2,3,3,64,-1,0,-1,-1,0,-1,53657.0,32243.0,58119.0,15969.0,29690.0,54998.0,5722.0,6294.0,898.0,1719.0,6610.0,883.0,0
99,120000,1,3,3,22,1,-1,0,0,-1,-1,46190.0,39830.0,2967.0,26101.0,44378.0,10356.0,6695.0,7782.0,5405.0,351.0,7167.0,2625.0,1
100,10000,1,1,2,66,-1,0,1,0,-1,-1,16608.0,26736.0,58044.0,30127.0,41328.0,18682.0,7122.0,4807.0,57.0,5625.0,741.0,6338.0,1
101,180000,2,4,2,55,2,-1,3,-1,0,0,3024.0,3840.0,13854.0,42989.0,54704.0,44531.0,7867.0,4927.0,2531.0,2051.0,4798.0,7892.0,1
102,20000,2,2,2,25,-1,2,0,1,-1,2,39506.0,351.0,2207.0,25910.0,46352.0,39639.0,4763.0,4278.0,7073.0,4375.0,4102.0,7535.0,1
103,180000,1,3,3,57,0,1,-1,0,1,3,8748.0,2346.0,45472.0,9020.0,37328.0,34897.0,5681.0,4093.0,4548.0,5464.0,1760.0,4745.0,1
104,10000,1,4,1,26,1,-1,0,2,-1,0,5277.0,34467.0,22946.0,32702.0,55156.0,59354.0,7736.0,4111.0,5370.0,6718.0,4164.0,727.0,1
105,180000,1,3,1,23,-1,-1,-1,1,0,0,58937.0,30817.0,17539.0,3281.0,6143.0,37787.0,3041.0,2340.0,5348.0,1484.0,5486.0,7741.0,0
106,180000,2,3,1,26,-1,0,-1,1,-1,-1,28436.0,44850.0,45580.0,50943.0,45792.0,40167.0,953.0,6827.0,2386.0,4649.0,4593.0,1223.0,0
107,180000,1,2,1,43,3,0,-1,0,0,1,39050.0,53678.0,19983.0,46233.0,23536.0,30125.0,7074.0,2852.0,5058.0,7286.0,4158.0,2146.0,1
108,120000,2,1,1,51,-1,0,0,-1,-1,-1,13039.0,10473.0,45173.0,13514.0,25991.0,31505.0,5055.0,4886.0,1769.0,3867.0,7085.0,7792.0,1
109,90000,1,2,1,40,0,-1,-1,0,-1,-1,6101.0,57437.0,11714.0,15794.0,46900.0,17462.0,3427.0,5354.0,5084.0,324.0,1804.0,4031.0,0
110,120000,1,4,3,26,0,-1,-1,-1,0,3,3765.0,55899.0,5154.0,1659.0,16416.0,31255.0,5735.0,4301.0,5464.0,2090.0,4991.0,1582.0,0
111,20000,2,3,1,30,-1,3,-1,0,-1,1,21261.0,36956.0,19495.0,21864.0,53017.0,55090.0,261.0,4891.0,7009.0,6357.0,2532.0,4016.0,1
112,180000,2,2,3,62,1,0,1,-1,-1,-1,223.0,31823.0,36569.0,2293.0,29992.0,22615.0,3817.0,390.0,7356.0,6336.0,7789.0,631.0,1
113,90000,2,4,1,68,1,1,0,0,2,0,25203.0,10599.0,13498.0,56180.0,20940.0,7993.0,2123.0,2527.0,191.0,2515.0,2012.0,2525.0,1
114,90000,2,4,3,57,-1,0,-1,-1,-1,0,19485.0,10694.0,8572.0,8050.0,19690.0,35986.0,2305.0,3586.0,2393.0,1574.0,6970.0,7617.0,0
115,90000,2,4,1,26,1,2,-1,-1,0,-1,31609.0,1119.0,44949.0,39562.0,25255.0,47111.0,7754.0,3153.0,4376.0,2334.0,5057.0,2388.0,1
116,90000,2,2,2,61,-1,-1,0,-1,0,-1,35371.0,38756.0,29592.0,34228.0,56565.0,57527.0,4400.0,7264.0,2572.0,1937.0,1717.0,7140.0,0
117,10000,2,3,1,54,-1,-1,-1,0,-1,-1,18505.0,25988.0,25887.0,14211.0,6158.0,32529.0,1123.0,7177.0,4948.0,5927.0,6069.0,4343.0,0
118,10000,1,3,2,46,0,2,0,1,0,0,27313.0,11515.0,14381.0,48491.0,30477.0,47282.0,2917.0,5693.0,6833.0,6732.0,1929.0,5245.0,1
119,20000,1,2,2,28,3,2,0,-1,-1,0,4685.0,8030.0,1061.0,6532.0,50100.0,15028.0,1941.0,2818.0,2064.0,372.0,2098.0,5623.0,1
120,10000,2,2,2,69,-1,-1,2,1,0,0,18106.0,3812.0,3189.0,53208.0,28323.0,25453.0,7272.0,407.0,7147.0,5929.0,2758.0,4411.0,0
121,90000,1,1,2,42,-1,-1,-1,1,-1,-1,58691.0,38457.0,40889.0,44420.0,33961.0,25142.0,2330.0,6041.0,7056.0,6019.0,5453.0,274.0,0
122,120000,2,2,2,23,0,0,0,-1,-1,2,59472.0,41118.0,4801.0,38106.0,20891.0,19946.0,2854.0,7071.0,7312.0,4902.0,3132.0,7353.0,0
123,120000,2,3,3,31,1,0,-1,0,-1,0,29148.0,37898.0,14815.0,52779.0,8172.0,42969.0,2673.0,3917.0,588.0,6970.0,4553.0,3800.0,1
124,90000,1,4,2,40,-1,-1,2,0,2,1,56371.0,6641.0,54653.0,24188.0,38364.0,53011.0,1405.0,6613.0,2345.0,311.0,4423.0,5244.0,0
125,180000,2,4,2,24,-1,1,3,-1,1,-1,30078.0,2481.0,20638.0,16898.0,55197.0,19594.0,6241.0,7445.0,992.0,5598.0,1573.0,4431.0,1
126,90000,1,1,1,36,0,-1,0,0,2,0,7539.0,6373.0,44678.0,9270.0,31203.0,8147.0,4611.0,4373.0,962.0,1018.0,1860.0,5267.0,0
127,10000,2,3,2,43,-1,0,0,-1,0,1,52074.0,45095.0,20599.0,55462.0,25922.0,49525.0,3495.0,1676.0,425.0,7176.0,2454.0,2837.0,1
128,180000,1,1,1,67,-1,-1,-1,1,0,-1,24906.0,44396.0,55909.0,24085.0,7742.0,50975.0,3167.0,179.0,3519.0,3999.0,1778.0,6749.0,0
129,120000,1,3,1,25,-1,-1,1,2,0,-1,36745.0,17689.0,49311.0,49763.0,56683.0,56094.0,5333.0,6055.0,697.0,726.0,7349.0,1794.0,0
130,120000,2,2,3,49,0,0,0,1,2,-1,38930.0,3312.0,28199.0,19944.0,52152.0,15304.0,767.0,4499.0,2366.0,5970.0,3051.0,5225.0,1
131,90000,2,2,1,65,0,-1,-1,0,0,-1,18482.0,19184.0,41064.0,57299.0,54117.0,43142.0,7454.0,1229.0,7850.0,5993.0,3239.0,4623.0,0
132,90000,1,3,2,60,1,0,0,0,-1,0,44009.0,48586.0,24797.0,52201.0,21540.0,42937.0,4518.0,436.0,7070.0,3712.0,5376.0,4029.0,1
133,10000,2,2,3,66,0,-1,0,3,0,-1,30078.0,8605.0,56664.0,18482.0,37517.0,47401.0,1821.0,7755.0,7496.0,2483.0,6304.0,175.0,0
134,90000,2,4,3,29,0,2,1,-1,0,-1,21982.0,47768.0,21504.0,29203.0,25954.0,48373.0,4302.0,2563.0,293.0,138.0,5505.0,3117.0,1
135,180000,1,3,1,60,3,0,0,-1,-1,0,17874.0,27800.0,50187.0,47639.0,14079.0,57150.0,6816.0,2616.0,5287.0,7263.0,4409.0,380.0,1
136,50000,2,4,1,68,0,1,0,0,-1,-1,44776.0,8483.0,36978.0,13571.0,12340.0,28619.0,1385.0,5031.0,5071.0,1474.0,7808.0,4025.0,1
137,120000,2,3,2,36,0,-1,0,-1,-1,-1,14960.0,56033.0,38621.0,1421.0,23031.0,4554.0,4190.0,2915.0,1062.0,6741.0,7198.0,5502.0,0
138,10000,1,2,2,45,2,-1,-1,-1,1,0,7449.0,31102.0,21093.0,17328.0,33203.0,11537.0,4781.0,7303.0,7249.0,4710.0,1619.0,4179.0,1
139,50000,2,4,3,47,-1,-1,-1,-1,-1,-1,52904.0,40293.0,49972.0,35435.0,7320.0,53197.0,6480.0,5447.0,3235.0,5481.0,1280.0,6056.0,0
140,90000,2,2,1,45,0,0,-1,0,1,-1,19908.0,5797.0,44776.0,8188.0,42123.0,50686.0,4538.0,2862.0,7813.0,5553.0,3142.0,2886.0,1
141,360000,2,3,1,35,1,-1,1,-1,0,-1,38461.0,22298.0,48917.0,20003.0,27465.0,664.0,5891.0,2133.0,911.0,6864.0,6682.0,2449.0,1
142,20000,2,1,1,68,-1,-1,0,-1,1,-1,42985.0,37954.0,48079.0,55115.0,52869.0,22050.0,6188.0,6880.0,5201.0,267.0,7717.0,3584.0,0
143,20000,2,1,3,67,0,-1,0,-1,-1,0,50300.0,38721.0,9456.0,4504.0,16727.0,14710.0,7129.0,4733.0,1045.0,7929.0,5621.0,1833.0,0
144,50000,1,3,1,39,-1,-1,-1,-1,2,-1,37540.0,3775.0,52550.0,3020.0,3096.0,19240.0,2892.0,7346.0,7599.0,346.0,5520.0,6414.0,0
145,360000,2,1,2,60,-1,-1,-1,1,0,-1,42476.0,36256.0,50510.0,25431.0,18723.0,38327.0,5630.0,2760.0,4860.0,7992.0,1869.0,6477.0,0
146,180000,1,4,1,40,0,-1,0,-1,-1,3,50232.0,56668.0,14568.0,770.0,58399.0,30600.0,1990.0,168.0,605.0,2090.0,4738.0,3332.0,0
147,10000,2,4,1,59,-1,-1,-1,0,-1,2,56601.0,47183.0,58899.0,1669.0,19319.0,28853.0,6754.0,7192.0,1718.0,6766.0,1474.0,6340.0,0
148,20000,1,3,3,49,1,0,-1,1,-1,-1,2811.0,12463.0,31621.0,10979.0,42229.0,26105.0,7609.0,1915.0,2874.0,668.0,4317.0,204.0,1
149,180000,1,3,1,44,2,-1,1,-1,-1,-1,44595.0,54756.0,19314.0,6135.0,50597.0,38496.0,2353.0,6763.0,102.0,3687.0,1550.0,1238.0,1
150,10000,1,3,1,27,1,-1,-1,1,0,0,10463.0,40973.0,13406.0,48652.0,17057.0,40983.0,4489.0,5678.0,69.0,4335.0,604.0,2264.0,0
151,180000,2,1,3,53,-1,0,-1,0,2,1,53476.0,3416.0,21882.0,7362.0,38555.0,2608.0,6578.0,1854.0,7403.0,7634.0,7738.0,3103.0,0
152,20000,1,2,2,36,-1,1,0,0,0,1,2909.0,7697.0,2253.0,31408.0,12268.0,8231.0,217.0,6054.0,7849.0,989.0,7146.0,1853.0,0
153,360000,1,2,1,31,-1,-1,1,-1,0,-1,14806.0,55275.0,41442.0,42317.0,21732.0,20470.0,5640.0,652.0,4289.0,291.0,5482.0,4097.0,0
